ticker,cluster,annual_return,annual_volatility,sharpe_ratio,max_drawdown,log_avg_volume,skewness,kurtosis,recent_1y_return
CF,2,0.2630438888504083,0.4227958273606646,0.6221534646935377,-0.5385019751145771,14.768457705004304,-0.1625196135122986,4.036332344196637,0.0841120813405009
CRL,2,0.1220684470389572,0.3988510809233259,0.3060501848368398,-0.6410211462916716,13.116295732536836,-0.2419540163289797,5.682569628456268,-0.2241116628401357
SCHW,1,0.1912286785706214,0.3877600047809572,0.4931624618651558,-0.4970345225940696,16.10060368650747,0.1987071628995962,7.006860037500372,0.0904797054043866
CHTR,1,-0.0096392974260035,0.3503955505854315,-0.0275097597840454,-0.6898819775863198,14.031033846776484,-0.4370073247783133,10.410968889342197,-0.117062881695467
CVX,1,0.151832787111676,0.3558769537470005,0.4266440563600438,-0.5467009417323052,16.11117395309261,-0.255365205264127,21.67724030689063,0.0004935931540952
CMG,0,0.3706352073509156,0.3592100290008153,1.031806401346535,-0.5018311335493322,16.56173647596853,0.6343669736848832,8.356063780080035,0.313752741079695
CB,2,0.1895437861346758,0.2874790756625856,0.6593307206718011,-0.4259167418859915,14.436512206990598,-0.6046031785283821,10.240883804529105,0.2348732816280687
CHD,2,0.1256361342483127,0.2286609743810894,0.5494428360080628,-0.3171611094521858,14.208956353230365,0.1886846441564376,11.089463453973382,0.1186542505256833
CIEN,0,0.2454868328008626,0.4049076392678516,0.6062785904576867,-0.4953608167856908,14.361447342680082,0.1022124582442604,14.880387714104298,0.8886915198030765
CI,2,0.1389377442334085,0.3386294567172787,0.4102943245997866,-0.4154985553053936,14.41759419443085,0.2931784428953921,11.683475303833053,-0.0660821385209249
CINF,2,0.1628475591648452,0.3570061742358066,0.4561477389387743,-0.5754381454659927,13.536789758743604,0.0682713346250489,10.19522035938936,0.4192972800019929
CTAS,0,0.2953592437370942,0.3115802810905952,0.9479394610701164,-0.483796831749591,14.40980086724384,-0.4766103799809332,13.630157746703423,0.2289615438816867
CSCO,2,0.1135553563804583,0.2729410453304982,0.4160435314628354,-0.3667506458286475,16.845239319801973,-0.4489711978392485,13.074002703885364,0.2097517380759903
C,1,0.0902138146491262,0.391666323851691,0.2303333453893952,-0.5650758255404696,16.803884658285348,0.0760564246350654,11.50530230078494,0.4193352185112444
CFG,1,0.1836439038671713,0.4648052649960708,0.3950985879403146,-0.6212762541909815,15.491604064639109,-0.0866124661969288,8.963279828313782,0.3737929337495858
CLX,2,0.0797758195594677,0.2706614727019125,0.2947439055994765,-0.4672568469251315,14.157031083734148,-0.2390215681449393,11.704718834296916,0.1700018841813231
CME,2,0.1140865357321452,0.2802363206027416,0.4071083130365261,-0.3735609186018719,14.354172328583422,-1.0192558645540952,19.91524523814761,0.1506315513707699
CMS,2,0.07867040030006,0.2462346431550995,0.3194936313267126,-0.2955271582466773,14.53582978061298,-0.0060373060294416,11.181653731138264,0.1856617060128014
KO,2,0.0800736890491171,0.208077846651726,0.3848256329908196,-0.3698751653977468,16.54518530482073,-0.6518700248949006,8.450053901339295,0.0847528582158692
CTSH,2,0.1141887325201513,0.315373622676483,0.3620744548991296,-0.437653161881368,15.070711488519333,-0.3405341798489336,13.262837690303993,0.032535178740636
COHR,0,0.430377977611597,0.5653053233049504,0.761319520388511,-0.722233386836652,14.461255897131258,0.1789463369532979,8.510359723670135,1.1787272914649631
